,filename,entry number
19028,is2res_total_train_val_test_lmdbs/data/oc22/is2re-total/train/data.0018.lmdb,717
44735,is2res_total_train_val_test_lmdbs/data/oc22/is2re-total/train/data.0018.lmdb,728
44664,is2res_total_train_val_test_lmdbs/data/oc22/is2re-total/train/data.0019.lmdb,80
71607,is2res_total_train_val_test_lmdbs/data/oc22/is2re-total/train/data.0019.lmdb,818
20949,is2res_total_train_val_test_lmdbs/data/oc22/is2re-total/train/data.0019.lmdb,1007
7758,is2res_total_train_val_test_lmdbs/data/oc22/is2re-total/train/data.0020.lmdb,110
33679,is2res_total_train_val_test_lmdbs/data/oc22/is2re-total/train/data.0020.lmdb,267
24658,is2res_total_train_val_test_lmdbs/data/oc22/is2re-total/train/data.0021.lmdb,99
19493,is2res_total_train_val_test_lmdbs/data/oc22/is2re-total/train/data.0021.lmdb,281
12405,is2res_total_train_val_test_lmdbs/data/oc22/is2re-total/train/data.0021.lmdb,299
4892,is2res_total_train_val_test_lmdbs/data/oc22/is2re-total/train/data.0021.lmdb,319
38951,is2res_total_train_val_test_lmdbs/data/oc22/is2re-total/train/data.0021.lmdb,370
17253,is2res_total_train_val_test_lmdbs/data/oc22/is2re-total/train/data.0021.lmdb,510
72805,is2res_total_train_val_test_lmdbs/data/oc22/is2re-total/train/data.0021.lmdb,512
41695,is2res_total_train_val_test_lmdbs/data/oc22/is2re-total/train/data.0021.lmdb,649
10132,is2res_total_train_val_test_lmdbs/data/oc22/is2re-total/train/data.0021.lmdb,741
6205,is2res_total_train_val_test_lmdbs/data/oc22/is2re-total/train/data.0021.lmdb,811
29844,is2res_total_train_val_test_lmdbs/data/oc22/is2re-total/train/data.0021.lmdb,837
7291,is2res_total_train_val_test_lmdbs/data/oc22/is2re-total/train/data.0021.lmdb,889
74466,is2res_total_train_val_test_lmdbs/data/oc22/is2re-total/train/data.0021.lmdb,914
36241,is2res_total_train_val_test_lmdbs/data/oc22/is2re-total/train/data.0021.lmdb,1008
24010,is2res_total_train_val_test_lmdbs/data/oc22/is2re-total/train/data.0021.lmdb,1080
25721,is2res_total_train_val_test_lmdbs/data/oc22/is2re-total/train/data.0022.lmdb,27
17742,is2res_total_train_val_test_lmdbs/data/oc22/is2re-total/train/data.0022.lmdb,279
14615,is2res_total_train_val_test_lmdbs/data/oc22/is2re-total/train/data.0022.lmdb,347
42974,is2res_total_train_val_test_lmdbs/data/oc22/is2re-total/train/data.0022.lmdb,394
21960,is2res_total_train_val_test_lmdbs/data/oc22/is2re-total/train/data.0022.lmdb,1117
9974,is2res_total_train_val_test_lmdbs/data/oc22/is2re-total/train/data.0023.lmdb,16
71752,is2res_total_train_val_test_lmdbs/data/oc22/is2re-total/train/data.0023.lmdb,29
30147,is2res_total_train_val_test_lmdbs/data/oc22/is2re-total/train/data.0023.lmdb,165
15425,is2res_total_train_val_test_lmdbs/data/oc22/is2re-total/train/data.0023.lmdb,241
71085,is2res_total_train_val_test_lmdbs/data/oc22/is2re-total/train/data.0023.lmdb,251
38576,is2res_total_train_val_test_lmdbs/data/oc22/is2re-total/train/data.0023.lmdb,280
14054,is2res_total_train_val_test_lmdbs/data/oc22/is2re-total/train/data.0023.lmdb,336
43620,is2res_total_train_val_test_lmdbs/data/oc22/is2re-total/train/data.0023.lmdb,387
2165,is2res_total_train_val_test_lmdbs/data/oc22/is2re-total/train/data.0023.lmdb,400
72354,is2res_total_train_val_test_lmdbs/data/oc22/is2re-total/train/data.0023.lmdb,551
1208,is2res_total_train_val_test_lmdbs/data/oc22/is2re-total/train/data.0023.lmdb,732
25785,is2res_total_train_val_test_lmdbs/data/oc22/is2re-total/train/data.0023.lmdb,759
6210,is2res_total_train_val_test_lmdbs/data/oc22/is2re-total/train/data.0023.lmdb,892
7402,is2res_total_train_val_test_lmdbs/data/oc22/is2re-total/train/data.0023.lmdb,910
25466,is2res_total_train_val_test_lmdbs/data/oc22/is2re-total/train/data.0023.lmdb,931
72615,is2res_total_train_val_test_lmdbs/data/oc22/is2re-total/train/data.0023.lmdb,1054
29073,is2res_total_train_val_test_lmdbs/data/oc22/is2re-total/train/data.0024.lmdb,292
30143,is2res_total_train_val_test_lmdbs/data/oc22/is2re-total/train/data.0024.lmdb,594
38935,is2res_total_train_val_test_lmdbs/data/oc22/is2re-total/train/data.0024.lmdb,813
8569,is2res_total_train_val_test_lmdbs/data/oc22/is2re-total/train/data.0024.lmdb,841
16356,is2res_total_train_val_test_lmdbs/data/oc22/is2re-total/train/data.0024.lmdb,928
72904,is2res_total_train_val_test_lmdbs/data/oc22/is2re-total/train/data.0024.lmdb,1061
26324,is2res_total_train_val_test_lmdbs/data/oc22/is2re-total/train/data.0024.lmdb,1111
81509,is2res_total_train_val_test_lmdbs/data/oc22/is2re-total/train/data.0025.lmdb,17
1609,is2res_total_train_val_test_lmdbs/data/oc22/is2re-total/train/data.0025.lmdb,137
39186,is2res_total_train_val_test_lmdbs/data/oc22/is2re-total/train/data.0025.lmdb,494
26720,is2res_total_train_val_test_lmdbs/data/oc22/is2re-total/train/data.0025.lmdb,516
32764,is2res_total_train_val_test_lmdbs/data/oc22/is2re-total/train/data.0025.lmdb,529
24158,is2res_total_train_val_test_lmdbs/data/oc22/is2re-total/train/data.0025.lmdb,588
4907,is2res_total_train_val_test_lmdbs/data/oc22/is2re-total/train/data.0025.lmdb,605
30256,is2res_total_train_val_test_lmdbs/data/oc22/is2re-total/train/data.0025.lmdb,692
26107,is2res_total_train_val_test_lmdbs/data/oc22/is2re-total/train/data.0025.lmdb,933
1992,is2res_total_train_val_test_lmdbs/data/oc22/is2re-total/train/data.0026.lmdb,17
27444,is2res_total_train_val_test_lmdbs/data/oc22/is2re-total/train/data.0026.lmdb,31
74805,is2res_total_train_val_test_lmdbs/data/oc22/is2re-total/train/data.0026.lmdb,230
24933,is2res_total_train_val_test_lmdbs/data/oc22/is2re-total/train/data.0026.lmdb,242
75166,is2res_total_train_val_test_lmdbs/data/oc22/is2re-total/train/data.0026.lmdb,362
34755,is2res_total_train_val_test_lmdbs/data/oc22/is2re-total/train/data.0026.lmdb,415
11054,is2res_total_train_val_test_lmdbs/data/oc22/is2re-total/train/data.0026.lmdb,626
31370,is2res_total_train_val_test_lmdbs/data/oc22/is2re-total/train/data.0026.lmdb,683
34038,is2res_total_train_val_test_lmdbs/data/oc22/is2re-total/train/data.0026.lmdb,724
34559,is2res_total_train_val_test_lmdbs/data/oc22/is2re-total/train/data.0026.lmdb,731
34832,is2res_total_train_val_test_lmdbs/data/oc22/is2re-total/train/data.0026.lmdb,774
36157,is2res_total_train_val_test_lmdbs/data/oc22/is2re-total/train/data.0026.lmdb,837
17295,is2res_total_train_val_test_lmdbs/data/oc22/is2re-total/train/data.0026.lmdb,1002
34788,is2res_total_train_val_test_lmdbs/data/oc22/is2re-total/train/data.0026.lmdb,1036
19264,is2res_total_train_val_test_lmdbs/data/oc22/is2re-total/train/data.0027.lmdb,0
10970,is2res_total_train_val_test_lmdbs/data/oc22/is2re-total/train/data.0027.lmdb,37
7067,is2res_total_train_val_test_lmdbs/data/oc22/is2re-total/train/data.0027.lmdb,68
3829,is2res_total_train_val_test_lmdbs/data/oc22/is2re-total/train/data.0027.lmdb,124
42108,is2res_total_train_val_test_lmdbs/data/oc22/is2re-total/train/data.0027.lmdb,281
3622,is2res_total_train_val_test_lmdbs/data/oc22/is2re-total/train/data.0027.lmdb,329
33803,is2res_total_train_val_test_lmdbs/data/oc22/is2re-total/train/data.0027.lmdb,352
38551,is2res_total_train_val_test_lmdbs/data/oc22/is2re-total/train/data.0027.lmdb,523
14837,is2res_total_train_val_test_lmdbs/data/oc22/is2re-total/train/data.0027.lmdb,938
7164,is2res_total_train_val_test_lmdbs/data/oc22/is2re-total/train/data.0027.lmdb,996
9938,is2res_total_train_val_test_lmdbs/data/oc22/is2re-total/train/data.0027.lmdb,1083
75941,is2res_total_train_val_test_lmdbs/data/oc22/is2re-total/train/data.0028.lmdb,75
23772,is2res_total_train_val_test_lmdbs/data/oc22/is2re-total/train/data.0028.lmdb,361
17506,is2res_total_train_val_test_lmdbs/data/oc22/is2re-total/train/data.0028.lmdb,589
2171,is2res_total_train_val_test_lmdbs/data/oc22/is2re-total/train/data.0028.lmdb,721
3126,is2res_total_train_val_test_lmdbs/data/oc22/is2re-total/train/data.0028.lmdb,734
41705,is2res_total_train_val_test_lmdbs/data/oc22/is2re-total/train/data.0028.lmdb,873
41774,is2res_total_train_val_test_lmdbs/data/oc22/is2re-total/train/data.0028.lmdb,1053
7606,is2res_total_train_val_test_lmdbs/data/oc22/is2re-total/train/data.0029.lmdb,81
14401,is2res_total_train_val_test_lmdbs/data/oc22/is2re-total/train/data.0029.lmdb,119
75879,is2res_total_train_val_test_lmdbs/data/oc22/is2re-total/train/data.0029.lmdb,154
74742,is2res_total_train_val_test_lmdbs/data/oc22/is2re-total/train/data.0029.lmdb,207
3387,is2res_total_train_val_test_lmdbs/data/oc22/is2re-total/train/data.0029.lmdb,426
72831,is2res_total_train_val_test_lmdbs/data/oc22/is2re-total/train/data.0029.lmdb,527
32297,is2res_total_train_val_test_lmdbs/data/oc22/is2re-total/train/data.0029.lmdb,1068
25632,is2res_total_train_val_test_lmdbs/data/oc22/is2re-total/train/data.0030.lmdb,63
42829,is2res_total_train_val_test_lmdbs/data/oc22/is2re-total/train/data.0030.lmdb,83
25548,is2res_total_train_val_test_lmdbs/data/oc22/is2re-total/train/data.0030.lmdb,171
7711,is2res_total_train_val_test_lmdbs/data/oc22/is2re-total/train/data.0030.lmdb,323
26054,is2res_total_train_val_test_lmdbs/data/oc22/is2re-total/train/data.0030.lmdb,380
73284,is2res_total_train_val_test_lmdbs/data/oc22/is2re-total/train/data.0030.lmdb,407
38372,is2res_total_train_val_test_lmdbs/data/oc22/is2re-total/train/data.0030.lmdb,550
20074,is2res_total_train_val_test_lmdbs/data/oc22/is2re-total/train/data.0030.lmdb,640
8294,is2res_total_train_val_test_lmdbs/data/oc22/is2re-total/train/data.0030.lmdb,652
20383,is2res_total_train_val_test_lmdbs/data/oc22/is2re-total/train/data.0030.lmdb,967
16032,is2res_total_train_val_test_lmdbs/data/oc22/is2re-total/train/data.0030.lmdb,983
15583,is2res_total_train_val_test_lmdbs/data/oc22/is2re-total/train/data.0030.lmdb,1030
3975,is2res_total_train_val_test_lmdbs/data/oc22/is2re-total/train/data.0030.lmdb,1086
40649,is2res_total_train_val_test_lmdbs/data/oc22/is2re-total/train/data.0030.lmdb,1108
1000,is2res_total_train_val_test_lmdbs/data/oc22/is2re-total/train/data.0031.lmdb,161
1858,is2res_total_train_val_test_lmdbs/data/oc22/is2re-total/train/data.0031.lmdb,169
13399,is2res_total_train_val_test_lmdbs/data/oc22/is2re-total/train/data.0031.lmdb,219
16100,is2res_total_train_val_test_lmdbs/data/oc22/is2re-total/train/data.0031.lmdb,252
75172,is2res_total_train_val_test_lmdbs/data/oc22/is2re-total/train/data.0031.lmdb,314
73018,is2res_total_train_val_test_lmdbs/data/oc22/is2re-total/train/data.0031.lmdb,406
44897,is2res_total_train_val_test_lmdbs/data/oc22/is2re-total/train/data.0031.lmdb,410
35790,is2res_total_train_val_test_lmdbs/data/oc22/is2re-total/train/data.0031.lmdb,459
23482,is2res_total_train_val_test_lmdbs/data/oc22/is2re-total/train/data.0031.lmdb,635
23901,is2res_total_train_val_test_lmdbs/data/oc22/is2re-total/train/data.0031.lmdb,649
19519,is2res_total_train_val_test_lmdbs/data/oc22/is2re-total/train/data.0031.lmdb,661
6568,is2res_total_train_val_test_lmdbs/data/oc22/is2re-total/train/data.0031.lmdb,685
30885,is2res_total_train_val_test_lmdbs/data/oc22/is2re-total/train/data.0031.lmdb,849
24245,is2res_total_train_val_test_lmdbs/data/oc22/is2re-total/train/data.0031.lmdb,911
43686,is2res_total_train_val_test_lmdbs/data/oc22/is2re-total/train/data.0031.lmdb,1019
40023,is2res_total_train_val_test_lmdbs/data/oc22/is2re-total/train/data.0032.lmdb,27
27297,is2res_total_train_val_test_lmdbs/data/oc22/is2re-total/train/data.0032.lmdb,155
25379,is2res_total_train_val_test_lmdbs/data/oc22/is2re-total/train/data.0032.lmdb,177
42608,is2res_total_train_val_test_lmdbs/data/oc22/is2re-total/train/data.0032.lmdb,195
27736,is2res_total_train_val_test_lmdbs/data/oc22/is2re-total/train/data.0032.lmdb,258
24464,is2res_total_train_val_test_lmdbs/data/oc22/is2re-total/train/data.0032.lmdb,473
24861,is2res_total_train_val_test_lmdbs/data/oc22/is2re-total/train/data.0032.lmdb,521
24885,is2res_total_train_val_test_lmdbs/data/oc22/is2re-total/train/data.0032.lmdb,561
10678,is2res_total_train_val_test_lmdbs/data/oc22/is2re-total/train/data.0032.lmdb,569
69431,is2res_total_train_val_test_lmdbs/data/oc22/is2re-total/train/data.0032.lmdb,582
73658,is2res_total_train_val_test_lmdbs/data/oc22/is2re-total/train/data.0032.lmdb,871
6272,is2res_total_train_val_test_lmdbs/data/oc22/is2re-total/train/data.0033.lmdb,48
33531,is2res_total_train_val_test_lmdbs/data/oc22/is2re-total/train/data.0033.lmdb,118
76554,is2res_total_train_val_test_lmdbs/data/oc22/is2re-total/train/data.0033.lmdb,124
7096,is2res_total_train_val_test_lmdbs/data/oc22/is2re-total/train/data.0033.lmdb,144
68533,is2res_total_train_val_test_lmdbs/data/oc22/is2re-total/train/data.0033.lmdb,175
75029,is2res_total_train_val_test_lmdbs/data/oc22/is2re-total/train/data.0033.lmdb,291
30579,is2res_total_train_val_test_lmdbs/data/oc22/is2re-total/train/data.0033.lmdb,554
21315,is2res_total_train_val_test_lmdbs/data/oc22/is2re-total/train/data.0033.lmdb,557
26005,is2res_total_train_val_test_lmdbs/data/oc22/is2re-total/train/data.0033.lmdb,708
11840,is2res_total_train_val_test_lmdbs/data/oc22/is2re-total/train/data.0033.lmdb,714
